id,fromLib,toLib,repoName,fileName,startCommit,endCommit,startCommitChanges,endCommitChanges,startCommitMessage,endCommitMessage,startCommitTime,endCommitTime,Category,repoOwner,repoSplitName
84,asm:asm,org.ow2.asm:asm,eclipse_sisu.inject,org.eclipse.sisu.inject/pom.xml,01ca345463fdaee4d5d72293bb7679fb5bc815ec,01ca345463fdaee4d5d72293bb7679fb5bc815ec,"+org.ow2.asm:asm
-asm:asm","+org.ow2.asm:asm
-asm:asm","Bug 406177: Upgrade to ASM4
","Bug 406177: Upgrade to ASM4
",2013-04-21,2013-04-21,5,eclipse,sisu.inject
88,asm:asm,org.ow2.asm:asm,noctarius_Lightning,pom.xml,8ec806a0986990bd80e609b62ec055753fc97e6a,8ec806a0986990bd80e609b62ec055753fc97e6a,"+org.ow2.asm:asm
-asm:asm","+org.ow2.asm:asm
-asm:asm",Moved ASM lib to version 4,Moved ASM lib to version 4,2012-08-12,2012-08-12,5,noctarius,Lightning
89,asm:asm,org.ow2.asm:asm,oblac_jodd,pom.xml,c057522ed029f1b223207eb22ba54dbd80623bba,c057522ed029f1b223207eb22ba54dbd80623bba,"+org.ow2.asm:asm
-asm:asm","+org.ow2.asm:asm
-asm:asm","Migrated to ASM 4.1
","Migrated to ASM 4.1
",2012-12-19,2012-12-19,5,oblac,jodd
90,asm:asm,org.ow2.asm:asm,Cognifide_Slice,slice-core/pom.xml,c4cffec426469641b6652f9ffb1b5b34f7639329,c4cffec426469641b6652f9ffb1b5b34f7639329,"+org.ow2.asm:asm
-asm:asm","+org.ow2.asm:asm
-asm:asm","SLICE-106
Upgrade ASM to support Java 8 (bumped asm to version 5.0, changed AnnotationReader)
","SLICE-106
Upgrade ASM to support Java 8 (bumped asm to version 5.0, changed AnnotationReader)
",2015-03-20,2015-03-20,5,Cognifide,Slice
93,asm:asm,org.ow2.asm:asm-commons,hcoles_pitest,pitest/pom.xml,0d638d02c051094ce1e8532e83449735cf6ae2f4,0d638d02c051094ce1e8532e83449735cf6ae2f4,"+org.ow2.asm:asm-commons
+org.ow2.asm:asm-analysis
+org.ow2.asm:asm-util
+org.ow2.asm:asm
-asm:asm-analysis
-org.powermock:powermock-api-mockito
-asm:asm
-asm:asm-commons
-org.powermock:powermock-module-junit4-rule-agent
-org.powermock:powermock-module-junit4
-asm:asm-util","+org.ow2.asm:asm-commons
+org.ow2.asm:asm-analysis
+org.ow2.asm:asm-util
+org.ow2.asm:asm
-asm:asm-analysis
-org.powermock:powermock-api-mockito
-asm:asm
-asm:asm-commons
-org.powermock:powermock-module-junit4-rule-agent
-org.powermock:powermock-module-junit4
-asm:asm-util","upgrade asm to 4.0
","upgrade asm to 4.0
",2012-09-27,2012-09-27,5,hcoles,pitest
98,asm:asm,org.ow2.asm:asm-debug-all,arteam_unitils,trunk/unitils-mock/pom.xml,a00bd1adb02f0d4a114b5906a8c4c1438eb227b3,a00bd1adb02f0d4a114b5906a8c4c1438eb227b3,"+org.ow2.asm:asm-debug-all
-asm:asm-analysis
-asm:asm-tree
-asm:asm","+org.ow2.asm:asm-debug-all
-asm:asm-analysis
-asm:asm-tree
-asm:asm","unitils-mock: upgrading ASM, cglib and objenisis","unitils-mock: upgrading ASM, cglib and objenisis",2013-10-01,2013-10-01,5,arteam,unitils
117,asm:asm-all,org.ow2.asm:asm-all,hammacher_javaslicer,pom.xml,ac9ca44eeb31807c64788f1e64409fbc3f508ffb,ac9ca44eeb31807c64788f1e64409fbc3f508ffb,"+org.ow2.asm:asm-all
-asm:asm-all","+org.ow2.asm:asm-all
-asm:asm-all","Port to use ASM4, and specifically the version by Michael Sperber that attempts to split large methods - https://bitbucket.org/sperber/asm-method-size/overview
","Port to use ASM4, and specifically the version by Michael Sperber that attempts to split large methods - https://bitbucket.org/sperber/asm-method-size/overview
",2016-01-14,2016-01-14,5,hammacher,javaslicer
141,bcel:bcel,org.apache.bcel:bcel,jibx_core,build/maven/jibx-bind/pom.xml,14bb0d61056ecac612a97743917343e1561a1076,14bb0d61056ecac612a97743917343e1561a1076,"+org.apache.bcel:bcel
-bcel:bcel","+org.apache.bcel:bcel
-bcel:bcel","Upgrade to bcel 5.2 and bump minimum jdk to 1.6
","Upgrade to bcel 5.2 and bump minimum jdk to 1.6
",2016-11-05,2016-11-05,7,jibx,core
157,c3p0:c3p0,com.mchange:c3p0,apache_ranger,security-admin/pom.xml,8702a98e42f14c917010a61e13a37e49a1cd1452,8702a98e42f14c917010a61e13a37e49a1cd1452,"+com.mchange:c3p0
-c3p0:c3p0","+com.mchange:c3p0
-c3p0:c3p0","RANGER-2162: Upgrade c3p0 libraries
","RANGER-2162: Upgrade c3p0 libraries
",2018-07-26,2018-07-26,8,apache,ranger
162,c3p0:c3p0,com.zaxxer:HikariCP,kislayverma_Rulette,rulette-mysql-provider/pom.xml,8664442927d5bf9fe9f0b8314453525d70832aaa,5acaccc223b375e4e95ce7b6d78a7d6c6fe209b6,+com.zaxxer:HikariCP,"+com.zaxxer:HikariCP
-c3p0:c3p0","Moving data source to use HikariCP
","Moving c3p0 to Hikari CP  (#45)

* added date format in RuletteInputProcessor and InputDateValue

* removed redundant variable

* using Joda date time formatter instead of simple date

* closing connection, Resultset, Statement

* closing connection, Resultset, Statement

* implementing custom input date value

* added default constructor for InputDateValue

* implemeted date reading till seconds value in MySql DataProvider Itself.

* removed CustomInputDateValue

* Equal method changes for rule comparison of range inputs

* moving close statements under finally block

* moving close statements under finally block

* version change

* adding comments

* MySQL data provider fixes

* PR comments

* Moving data source to use HikariCP

* PR comments

* Removed inheritance from Hikari, removed redundant file

* setting connection timeout in hikariConfig

* separated hikariConfig creation in a method

* separated hikariConfig creation in a method

* removed c3p0 dependency
",2017-12-31,2018-01-08,8,kislayverma,Rulette
